Reason for Credit Entry,Sub Order No,Order Date,Customer State,Product Name,SKU,Size,Quantity,Supplier Listed Price (Incl. GST + Commission),Supplier Discounted Price (Incl GST and Commision)
RTO_COMPLETE,120234205854_1,25-08-2022,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,105706412059_1,25-08-2022,Maharashtra,top & bottom set,akshar 1090,M,1,1400,1400
RTO_LOCKED,269083456798_1,25-08-2022,Goa,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
CANCELLED,398702250845_1,25-08-2022,Rajasthan,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414,414
CANCELLED,516987346340_1,25-08-2022,Jammu & Kashmir,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
RTO_LOCKED,717389427083_1,25-08-2022,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,590792915541_1,25-08-2022,Uttar Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,542703544972_1,25-08-2022,Himachal Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414,414
RTO_COMPLETE,296605193297_1,25-08-2022,Telangana,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414,414
DELIVERED,963799194113_1,25-08-2022,Uttar Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
RTO_COMPLETE,118121582107_1,26-08-2022,Mumbai,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,928726855752_1,26-08-2022,Madhya Pradesh,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 lavender,Semi Stitched,1,1999,1999
CANCELLED,621670207763_1,26-08-2022,West Bengal,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,583140288760_1,26-08-2022,West Bengal,top & bottom set,akshar 1090,XL,1,1400,1400
DELIVERED,498649084066_1,26-08-2022,Kerala, Georgette Silk Saree With Complete Heavy Sequence N Coding Multi Work N Banglori Silk Blouse,1265610464,Free Size,1,1500,1500
RTO_COMPLETE,485706928032_1,26-08-2022,Andhra Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414,414
DELIVERED,431854237562_1,26-08-2022,Punjab,Kurta Sets ,45678,XXXL,1,500,500
DELIVERED,874997211089_1,27-08-2022,Others,top & bottom set,akshar 1090,XL,1,1400,1400
CANCELLED,302103837288_1,27-08-2022,Andhra Pradesh,top & bottom set,akshar 1090,XXL,1,1400,1400
DELIVERED,265339595628_1,27-08-2022,Gujarat,Kurta Sets ,45678,M,1,468,468
DELIVERED,707632123402_1,27-08-2022,Karnataka,Kurta Sets ,95124932,XL,1,468,468
DELIVERED,237419587792_1,27-08-2022,Gujarat,Kurta Sets ,45678,M,1,468,468
CANCELLED,898495702259_1,27-08-2022,Tamil Nadu,Fancy embroidery sequence work gown with dupatta ,Dhk1094,XL,1,1461,1461
CANCELLED,475133679575_1,27-08-2022,Jammu & Kashmir,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1910,1910
DELIVERED,294779117929_1,27-08-2022,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,740854251861_1,27-08-2022,Chhattisgarh,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400,1344
CANCELLED,799024162777_1,28-08-2022,West Bengal,"Beautiful pure lakhnovi long kurta embroidery cotton thread work,sequence work ,flair plazoo and duppata",Kb 201,XXL,1,1500,1500
